company_name,url,ideal_talent_profile,core_values,detailed_description
SK엔펄스,https://www.skenpulse.com/kr/recruit/talent?anchor=middleArea,"SK 경영철학에 대한 확신과 열정을 바탕으로, 패기와 실행력을 갖춘 셀프리더십 인재","경영철학 확신, 열정(패기), 실천역량, 셀프리더십","SK엔펄스는 SK 경영철학에 대한 확신을 바탕으로 뜨거운 열정을 지닌 인재를 원합니다. 도전적인 패기를 갖고 적극적으로 사고하며, 진취적인 실천 역량으로 결과를 만드는 동시에, 자기 자신을 주도하는 셀프리더십을 발휘하는 인재를 추구합니다."
SK텔레콤_서비스탑,https://www.svctop.co.kr/html/recruiting-value.html,사랑과 열정으로 도전하고 책임질 줄 아는 인재,"Passion & Love, Challenge & Innovation, Integrity & Accountability","서비스탑은 고객, 회사, 구성원에 대한 ‘사랑’을 바탕으로 모든 일에 열정을 가지고 자발적으로 임하며(Passion & Love), 끊임없이 최상의 목표를 추구하고 창의적이고 혁신적으로 완수해내는 인재(Challenge & Innovation), 높은 수준의 정직과 윤리 의식을 지니고 끝까지 책임지는 자세를 실천할 줄 아는 인재(Integrity & Accountability)를 지향합니다."
SK이노베이션,https://www.skinnovation.com/recruit/org_culture,전문성과 책임을 기반으로 서로를 존중하며 치열한 토론 속에서 혁신을 이끄는 ‘돌봄의 프로페셔널’을 실천하는 인재,"프로페셔널리즘, 책임 있는 퍼포먼스, 돌봄(Caring), 치열한 소통·합의 문화, 혁신적 사고","SK이노베이션은 각자의 분야에서 탁월한 전문성을 갖추고, 높은 책임감과 퍼포먼스를 지녀야 하며, 서로를 존중하는 돌봄의 태도를 지닌 인재를 원합니다. 또한 치열하게 토론하고 합의하는 조직문화를 통해 사고의 프레임을 전환하고 일하는 방식을 혁신하는 인재상을 지향합니다."
SK이노베이션_강원도시가스,https://www.skens.com/gangwon/content/view.do?cate=company&m1=recruit,"변화를 두려워하지 않고 책임과 도전정신으로 적극 실천하며, 협심과 열정을 통해 함께 성장하는 인재","Innovation, Globality, Integrity, Accountability, Challenge, Passion, Love","강원도시가스는 변화에 대한 두려움 없이 창의적으로 문제를 해결하는 혁신적인 인재, 글로벌 사업을 이끌 수 있는 역량 있는 인재, 원칙과 규범을 지키며 책임감 있게 행동하는 인재, 꼼꼼히 일을 처리하는 실행력 있는 인재, 경쟁을 불사하며 도전하는 인재, 자발성과 열정으로 문제에 임하는 인재, 그리고 회사에 대한 애정과 동료 존중을 바탕으로 협력하는 인재를 지향합니다."
SK지오센트릭,https://www.skgeocentric.com/company/vision,"혁신과 기술로 지속가능한 경쟁력을 강화하며, 순환경제를 선도하는 인재","혁신, 기술력, 지속가능성, 순환경제, 글로벌 경쟁력","SK지오센트릭은 끊임없는 혁신과 기술력으로 본원적 경쟁력을 강화하고, Green for Better Life라는 비전을 구현하기 위해 순환경제 모델을 선도하는 인재를 지향합니다. 이러한 인재는 지속가능한 화학기업으로 성장하기 위한 글로벌 경쟁력도 갖추어야 합니다."
SK디스커버리,https://www.skdiscovery.com/kr/pro.aspx,"따뜻한 태도로 동료를 신뢰하며 성장에 기여하는, 전문성과 협업을 갖춘 인재","따뜻함, 신뢰, 성장지향, 전문성, 협업","SK디스커버리는 구성원 간 정서적 유대와 신뢰를 바탕으로, 동료의 성장을 적극 도우며 내 의견과 다른 의견 모두 경청하는 '따뜻한 프로페셔널' 인재상을 지향합니다."
롯데,https://www.lotte.co.kr/careers/humanResources.do,미래를 만들어 가는 책임과 열정을 가진 글로벌 인재,"도전정신, 자기계발, 협력과 상생","롯데는 현재보다 미래에 더 큰 가치를 두며, 자신의 성장과 함께 사회를 성숙하게 하는 책임감과 열정을 갖춘 글로벌 인재를 찾습니다. 실패를 두려워하지 않고 도전하는 패기를 지닌 인재, 실력 향상을 위해 끊임없이 노력하는 자기계발형 인재, 협력과 배려를 통해 사회와 함께 성장하는 상생의 인재상을 지향합니다."
롯데마트,https://recruit.lottemart.com/rem/pbcm/PbcmRecruit0003.jsp,"고객 중심 사고와 창의·비판적 사고, 협업과 소통을 통해 책임감 있게 업무를 완수하는 인재","고객지향성, 창의성과 혁신, 책임감, 비판적 사고, 협업, 소통","롯데마트는 고객의 니즈를 정확히 파악해 만족을 이끌어내는 고객 지향적인 인재, 창의적이고 혁신적인 해결책을 제시하는 인재, 올바른 비판을 통해 건전한 대안을 마련하는 비판적 사고형 인재를 지향합니다. 또한 다른 부서와 유기적으로 협업하며, 구성원 간 적극적으로 소통하고, 기본을 지키며 책임감 있게 업무를 수행할 수 있는 인재를 원합니다."
롯데바이오로직스,https://www.lottebiologics.com/ko/Careers/recruitment,"호기심과 도전정신, 성실함과 윤리성을 가지고 글로벌 리더로 성장하는 인재","호기심, 강인함, 성실함, 윤리성, 글로벌 마인드","롯데바이오로직스는 끊임없이 변화의 기회를 호기심으로 탐색하고, 포기 없는 강인함으로 새로운 가치를 창출하며, 기본과 원칙에 충실한 성실함과 윤리성을 바탕으로 신뢰를 구축하고, 전 세계 다양성을 수용하는 글로벌 마인드를 갖춘 리더로 성장할 인재를 찾습니다."
롯데케미칼,https://www.lottechem.com/ko/recruit/talent.do,능동적이고 탁월하며 조화롭게 성장하는 인재,"능동성, 탁월성, 조화·협력·다양성","롯데케미칼은 책임감을 가지고 스스로 동기부여하며 성장하는 능동적인 인재, 실행력을 바탕으로 최고의 탁월성을 추구하는 도전적 인재, 다양성을 존중하고 협력하며 조화롭게 일하는 인재를 지향합니다."
롯데쇼핑,https://www.lotte.co.kr/careers/humanResources.do,실패를 두려워하지 않고 성장과 사회 발전을 함께 이루는 열정과 책임 있는 글로벌 인재,"도전정신, 자기계발, 협력과 상생","롯데는 실패를 두려워하지 않고 도전하며, 자신의 역량을 끊임없이 개발해 성장하는 인재를 찾습니다. 또한, 협력과 상생을 통해 사회에 기여하는 책임 있는 글로벌 인재상을 지향합니다."
롯데건설,https://career.lottecon.co.kr/aboutus/talents,"미래를 함께 만들어 가며, 성장과 책임감을 갖춘 글로벌 인재","성과인, 도전인, 지력인, 극기인","롯데건설은 미래를 만들어 가는 가능성 위에 가치를 두며, 자기 성장과 사회 성숙에 기여하는 열정과 책임감을 갖춘 글로벌 인재를 찾습니다. 성과인을 통해 목표 달성과 발전에 기여하고, 도전인은 자율성과 글로벌 시각으로 불굴의 자세를 실천하며, 지력인은 전문 지식과 인적 네트워크를 갖춘 유능한 인재, 극기인은 기본과 원칙을 지키며 자기 극복의 자세를 유지하는 인재를 지향합니다."
호텔롯데,https://www.hotellotte.com/ko/careers/employees/our-people,"변화를 주도하고 성장하며, 글로벌 감각으로 이로운 미래를 만드는 인재","혁신적 인재, 성장형 인재, 글로벌 인재","호텔롯데는 고객과 사회의 행복한 삶을 위해 본질을 이해하고 끊임없이 변화를 추구하는 혁신적인 인재를 추구합니다. 또한 스스로를 객관화하며 지속적으로 성장하고자 하는 열정적인 인재, 창의성과 전문성을 갖춰 다양한 문화를 수용하고 유연한 사고로 서비스를 창출하는 글로벌 인재를 지향합니다."
POSCO퓨처엠,https://www.poscofuturem.com/recruitment/talent.do,"실천 의식과 배려의 마인드를 바탕으로, 유연한 사고와 학습으로 미래를 주도하는 창의적 인재","실천 의식·책임감, 배려·존중, 유연한 사고·지속 학습","포스코퓨처엠은 주인의식을 갖고 솔선수범해 협업하며 동료와 조직에 시너지를 창출하는 인재, 겸손과 존중의 태도로 이해관계자와 진정성 있게 소통하고 상생을 실천하는 인재, 유연한 사고와 지속적인 학습을 통해 도전적인 아이디어를 제시하며 변화와 성장을 이끄는 미래 지향적 인재를 지향합니다."
POSCO기술투자,https://www.poscoinvestment.com/ir/talent.do,"실천 의식과 배려를 바탕으로, 창의적으로 성장과 변화를 주도하는 인재","실천의식·책임감, 배려·존중, 창의·혁신","포스코기술투자는 주인의식과 책임감을 갖고 능동적으로 행동하는 실천 인재, 겸손과 존중으로 함께 협업하는 배려 인재, 혁신적 사고와 진취적인 자세로 변화를 주도하는 창의적 인재를 지향합니다."
POSCODX,https://www.poscodx.com/kor/about/ideal,실천 의식과 배려의 마인드를 갖춘 창의적 인재,"기술·성장, 도전·창의, 배려·협업","POSCO DX는 전문적인 기술력과 유연한 학습 자세로 끈기 있게 성장하는 '기술인', 의지와 열정, 창의적인 시각으로 새로운 가치를 창출하는 '도전인', 타인을 배려하고 열린 소통으로 협력하여 One Team을 실현하는 '화합인'을 지향합니다."
POSCOflow,https://www.poscoflow.com/recruit/personnel1.do,"실천과 배려, 창의적 사고로 앞서 나아가는 인재","실천(Action), 배려(Consideration), 창의(Creativity)","포스코플로우는 주인의식과 책임감을 바탕으로 결단력 있게 솔선수범하는 실천형 인재, 겸손과 존중으로 상생을 실천하며 봉사와 희생의 자세를 지닌 배려형 인재, 그리고 본연의 업무에 몰입하여 주도적으로 문제를 해결하고 새로운 아이디어를 적용하는 창의적 인재를 지향합니다."
POSCOA&C,https://poscoanc.recruiter.co.kr/career/people,실천하고 배려하며 창의적 사고로 함께 성장하는 인재,"실천의식, 배려, 창의, Professionalism, Innovative Thinking, Global Competence","포스코A&C는 주인의식과 책임감으로 솔선수범하며 실천하는 인재, 겸손과 존중으로 조화와 상생을 이루는 배려형 인재, 유연한 사고와 지속적인 학습으로 혁신적 아이디어를 주도하는 창의적 인재를 지향합니다."
POSCOE&C,https://www.poscoenc.com/ko/career/talent.aspx,도전과 배려로 안전하고 행복한 일터를 만들며 가치를 함께 실현하는 창의적 인재,"실천(Action), 배려(Consideration), 창의(Creativity)","POSCO E&C는 변화를 두려워하지 않고 끊임없이 도전하며, 다양한 이해관계자와 협력하고 상생하는 배려형 인재, 또한 안전하고 행복한 일터를 구현하기 위해 창의적으로 가치를 창출하고 함께 실현해 나가는 인재를 지향합니다."
POSCOInternational,https://www.poscointl.com/talent,자기혁신적 철학 공감과 상호 성장을 이끄는 인재,"Invincible Challenger, Creative Entrepreneur, Empathetic Leader","POSCO International은 스스로 동기를 부여하며 혁신을 실천하고, 철학과 가치에 공감하며 함께 성장할 인재를 찾습니다. 변화에 두려움 없이 과감히 도전하는 '도전가', 전략적 사고로 기회를 발굴하고 실행하는 '창조적 사업가', 사회적 책임 의식과 공감으로 솔선수범하는 '지지적 리더'를 지향합니다."
POSCOHYcleanmetal,https://www.poscohycm.co.kr/page/ideal,실천의식과 배려의 마인드를 가진 창의적 인재,"실천(Action), 배려(Consideration), 창의(Creativity)","POSCO HY Clean Metal은 주인의식과 책임감으로 솔선수범하며 실천하는 인재, 겸손과 존중의 태도로 상생을 실천하는 배려형 인재, 자신의 업무에 집중해 새로운 아이디어를 적용하는 창의적 인재를 지향합니다."
POSCO스틸리온,https://www.poscosteeleon.com/kr/recruit/talent.do,실천의식과 배려의 마인드를 갖춘 창의적 인재,"실천(Action), 배려(Consideration), 창의(Creativity)","포스코스틸리온은 주인의식과 책임감을 바탕으로 결단력 있게 솔선수범하는 '실천형 인재', 겸손과 존중으로 상생하며 희생과 봉사를 실천하는 '배려형 인재', 업무에 몰입하여 주도적으로 문제를 해결하고 새로운 아이디어를 적용하는 '창의적 인재'를 지향합니다."
아모레퍼시픽,https://www.apgroup.com/int/ko/about-us/amorepacific/our-values/our-values.html,"고객 중심의 혁신, 열린 협업, 차별 존중과 정직함을 실천하며 뉴뷰티로 세상을 아름답게 만드는 인재","Customers First, Be the First and the Best, Collaborate with an Open Mind, Respect Differences, Act with Integrity","아모레퍼시픽은 고객을 최우선으로 행동하며, 최초와 최고를 향한 끊임없는 시도를 통해 혁신을 주도합니다. 열린 마음으로 협업하고, 다름을 인정하며 존중하는 태도로 조직의 다양성을 포용합니다. 또한 정직하고 원칙적으로 행동함으로써 신뢰를 실천하며, '뉴뷰티(New Beauty)'를 통해 개인의 고유한 아름다움을 발견하고 세상을 더욱 아름답게 만드는 인재를 지향합니다."
국민건강보험공단,https://www.nhis.or.kr/nhis/about/wbhafa01500m01.do,"정직함과 성실성을 바탕으로 책임을 다하며, 지속적으로 스스로를 발전시키는 인재","정직, 성실, 책임감, 자기 계발, 주인의식","국민건강보험공단은 국민 보건 향상 및 사회 보장 증진이라는 사명에 자부심을 갖고, 언제나 정직하고 성실한 자세로 업무에 임하는 인재를 지향합니다. 또한 국제화·개방화 시대에 맞춰 스스로나 인재상을 정립하고 끊임없이 자기 계발에 힘쓰며, 맡은 역할에 주인의식을 갖고 책임감 있게 실천하는 인재를 원합니다."
국민연금공단,https://nps.recruiter.co.kr/career/people,"실천적 윤리와 전문성, 글로벌 혁신을 기반으로 공감과 소통을 실천하는 인재","실천적 윤리인, 글로벌 전문인, 자율적 혁신인","국민연금공단은 최고의 직업윤리를 바탕으로 전문성 있는 실천형 인재(실천적 윤리인), 글로벌 전문성을 갖추어 상생과 협업을 실현하는 인재(글로벌 전문인), 그리고 혁신과 신기술을 주도적으로 수용하고 적용하는 스마트 혁신형 인재(자율적 혁신인)를 지향합니다."
한전KPS,https://www.kps.co.kr/about/about_06_01.do,기술과 고객 중심 사고로 지속 혁신하며 책임과 학습으로 최고 전문성을 추구하는 인재,"기술 혁신, 고객 중심, 전문성, 책임감, 학습","한전KPS는 지속적인 기술 및 경영 혁신을 통해 글로벌 경쟁력을 확보하며, 고객의 관점에서 미리 생각하고 니즈를 충족시키는 고객 중심형 인재를 지향합니다. 또한 끊임없는 학습과 기술 연마로 플랜트 서비스 분야에서 최고의 전문성과 안전 의식을 갖춘 인재, 맡은 일에 책임과 열정을 다하는 인재상을 추구합니다."
KB금융그룹,https://www.kbfg.com/kor/about/group/value.htm,"고객 중심 사고와 전문성, 혁신 주도력, 정직한 신뢰, 그리고 사회와 함께 성장하는 인재","고객중심, 전문성, 혁신주도, 신뢰정직, 동반성장","KB금융그룹은 고객의 행복과 더 나은 세상을 추구하며, 고객 중심의 사고를 실천하는 인재를 지향합니다. 업계 최고 수준의 전문성을 갖추고 끊임없이 노력하며, 창의적인 사고와 과감한 도전을 통해 금융 혁신을 선도하는 인재로서, 윤리와 정직을 기반으로 신뢰를 쌓고, 개인과 조직을 넘어 사회와 함께 성장하는 인재를 목표로 합니다."
KB국민은행,https://omoney.kbstar.com/quics?page=C017618#loading,창의적 사고와 행동으로 변화를 선도하며 고객 가치를 향상시키는 프로 금융인,"고객우선주의, 자율과 책임, 적극적 사고와 행동, 다양한 가치의 존중","KB국민은행은 고객 중심의 사고와 프로의식을 바탕으로 고객 가치를 창출하는 인재를 지향합니다. 스스로 판단하고 책임지는 자율적 자세로 업무에 임하며, 혁신적인 사고와 행동으로 변화를 주도해 성장하는 전문성을 갖춘 인재, 다양한 가치와 사고를 포용하는 열린 태도로 조직 및 사회와 함께 성장하는 인재를 원합니다."
KB캐피탈,https://m.kbcapital.co.kr/aboutus/empinfo/corpClt.kbc,"자율과 책임, 즐거움으로 팀워크와 균형을 실현하는 대한민국 1등 인재","Autonomy, Responsibility, Pleasure","KB캐피탈은 대한민국 1등을 지향하며, 변화를 창조하는 전략적 사고와 창의성을 지닌 자율형 인재, 주주와 고객을 고려한 목표 의식과 윤리적 행동을 기반으로 하는 책임감 있는 인재, 밝은 에너지로 열정과 실천을 이어가는 즐거움을 실천하는 인재를 찾습니다."
KB손해보험,http://insight.kbinsure.co.kr/kb%EC%86%90%ED%95%B4%EB%B3%B4%ED%97%98-%EC%9D%B8%EC%9E%AC%EC%83%81/,"도전과 창의, 고객 중심 사고와 디지털 융합 역량을 통해 신속하고 전문적으로 실행하는 인재","도전창의, 고객중심, 디지털융합, 신속전문성","KB손해보험은 변화를 두려워하지 않고 새로운 방안과 기회를 찾는 도전적이고 창의적인 인재, 고객 관점에서 소통하고 만족을 실현하는 고객 중심 인재, 디지털 기반 융합 사고로 혁신과 효율을 추구하는 디지털 융합 인재, 자기개발과 열정을 통해 신속하고 전문적으로 실행하는 전문가 인재를 지향합니다."
KB증권,https://careers.kbfg.com/culture/culture,"고객 중심 사고와 전문성을 바탕으로 혁신을 주도하고, 정직과 신뢰로 사회와 함께 성장하는 인재","고객중심, 전문성, 혁신주도, 신뢰정직, 동반성장","KB금융그룹은 고객의 입장과 이익을 항상 최우선으로 고려하며, 업계를 선도하는 전문 역량을 갖추고자 끊임없이 노력하는 인재를 지향합니다. 또한 미래 금융산업을 창조적으로 혁신하며 도전하고, 윤리적 행동으로 신뢰를 쌓고, 개인과 조직뿐 아니라 사회 발전에도 기여하는 동반성장형 인재를 원합니다."
하나금융,https://www.hanafn.com/hfm/mnu/info/about/people/seniorList.do,"온기와 용기, 그리고 성장에 대한 동기를 갖춘 하나인이 되어, 함께 성장하고 사회에 긍정적 영향을 주는 인재","온기 (Humanity), 용기 (First Mover), 동기 (Growth Mind)","하나금융그룹은 존중과 배려로 서로를 따뜻하게 연결하는 '온기'를 실천하며, 변화를 두려워하지 않고 혁신을 주도하는 '용기'를 가진 인재, 그리고 몰입과 성취감을 통해 지속 성장하는 '동기'를 내재화한 인재를 지향합니다."
하나은행,https://hanabank.recruiter.co.kr/career/talent,"따뜻함과 용기, 성장에 대한 동기를 바탕으로 실천하는 인재","온기 (인간미), 용기 (First Mover), 동기 (Growth Mind), Passion, Openness, With Customer, Excellence, Respect, Integrity","하나금융그룹은 사람에 대한 따뜻한 배려와 협업(온기), 변화를 두려워하지 않고 미래를 주도하는 용기, 성장 목표를 스스로 세우고 실천하는 동기를 갖춘 인재를 지향합니다. 또한 태양처럼 뜨거운 열정(Passion), 하늘처럼 열린 마음(Open Mind), 손님을 우선하는 자세(With Customer), 최고의 전문성(Excellence), 존중과 배려(Respect), 그리고 변하지 않는 정직과 성실성(Integrity)이라는 핵심가치에 따라 행동하는 인재를 원합니다."
한화,https://www.hanwhacorp.co.kr/hanwha/hrmanagement/talentedhr.jsp,"주인의식, 탁월한 차별성, 변화 수용성을 갖춘 Great Challenger 인재","Ownership (주인의식), Exceptional Distinction (탁월한 차별성), Adaptability (변화 수용성)","한화는 장기적인 시야로 책임감 있게 몰입하며 주인의식을 실천하고, 기존의 틀을 넘어 디테일과 꾸준함으로 차별화를 추구하는 인재, 변화에 겸손하게 대처하며 기회를 선점할 수 있는 유연한 사고를 지닌 인재를 지향합니다."
한화솔루션,https://hcc.hanwha.co.kr/ko/recruit/talent,"주인의식, 탁월한 차별성, 변화 수용성을 갖춘 Great Challenger 인재","Ownership (주인의식), Exceptional Distinction (탁월한 차별성), Adaptability (변화 수용성)","한화솔루션 케미칼 부문은 장기적 관점에서 책임감 있게 몰입하고 주도적으로 실행하는 ‘주인의식’ 인재, 기존의 관습을 뛰어넘는 대담한 목표와 디테일로 차별성을 만들어내는 ‘탁월성’ 인재, 시장의 변화를 냉정히 인지하고 기회를 선제적으로 포착하는 ‘변화 수용성’ 인재로 구성된 Great Challenger를 지향합니다."
한화시스템,https://www.hanwhasystems.com/kr/recruit/recruit1.do,"주인의식, 차별성, 변화수용성을 갖춘 Great Challenger 인재","Ownership (주인의식), Exceptional Distinction (탁월한 차별성), Adaptability (변화 수용성)","한화시스템은 사업의 주인이 되어 책임감 있게 몰입하며 빠르게 실행하는 'Ownership', 업계 상식을 뛰어넘는 대담한 목표 설정과 세밀한 차별화로 한발 앞서 나가는 'Exceptional Distinction', 그리고 변화에 안주하지 않고 냉정히 현실을 직시하며 미래 기회를 선제적으로 포착하는 'Adaptability'를 갖춘 Great Challenger 인재상을 지향합니다."
한화에너지,https://hec.hanwha.co.kr/recruit.do,"주인의식, 차별성, 변화수용성을 갖춘 Great Challenger 인재","도전(Challenge), 헌신(Dedication), 정도(Integrity)","한화엔지니어링은 기존의 틀에 안주하지 않고 혁신을 통해 최고의 성과를 추구하는 '도전형 인재', 공동의 목표를 위해 헌신하며 고객과 동료에게 기여하는 '헌신형 인재', 원칙에 따라 정직하고 공정하게 행동하는 '정도 지향 인재'를 지향합니다."
한화생명금융서비스,https://www.hanwhalifefs.com/recruit/talent,한화인의 도전·헌신·정도로 금융서비스의 가치를 창조하는 인재,"도전(Challenge), 헌신(Dedication), 정도(Integrity)","한화생명금융서비스는 기존의 방식에 머무르지 않고 변화를 이끌며 최고를 추구하는 ‘도전적인 인재(Challenge)’, 고객과 조직에 충실하며 큰 목표를 위해 헌신하는 ‘헌신적인 인재(Dedication)’, 그리고 어떤 상황에서도 원칙에 따라 공정하고 정직하게 행동하는 ‘정도 지향 인재(Integrity)’를 지향합니다."
한화에어로스페이스,https://www.hanwhaaerospace.com/kor/careers/talent.do,"현실을 냉정하게 직시하고 겸손하게 깨어 있으며, 미래를 선제적으로 대비해 기회를 창출하는 인재","냉철한 현실 인식, 겸손, 미래 대비 능력","한화에어로스페이스는 과거 성과에 안주하지 않고 냉혹한 현실을 직시하며, 성공에 도취하지 않고 늘 겸손한 자세를 유지하는 인재를 지향합니다. 또한 변화의 예고 없이 찾아오는 시장 환경에서도 준비된 자세로 미래를 선제적으로 대비하여 새로운 기회를 발굴해내는 인재로 성장하기를 바랍니다."
한화오션에코텍,https://hanwhaoceanecotech.com/kor/careers/talent.php,전문성과 원칙에 기반해 성실히 임하고 책임을 다하는 인재,"직무전문성, 원칙준수, 성실, 책임감","한화오션에코텍은 직무에 대한 깊은 전문성을 바탕으로 원칙을 준수하며 성실하게 임하고, 자신이 맡은 일에 책임감을 갖고 일관되게 최선을 다하는 인재를 지향합니다."
한화손해보험,https://www.hanwhasonsa.co.kr/rct/people,정확하고 공정하며 신속하게 고객의 신뢰를 실천하는 인재,"정확, 공정, 신속","한화손해사정은 정확한 근거와 자료를 바탕으로 심사하고, 어떠한 상황에서도 흔들림 없는 공정성을 유지하며, 고객의 이익을 위해 최대한 신속하게 대응하는 인재를 지향합니다."
한국산업은행,https://recruit.kdb.co.kr/index.jsp,"열정과 공감, 창조와 원칙, 전문성을 바탕으로 사회에 기여하는 인재","Passionate, People-based, Pioneer, Principle-based, Professional","한국산업은행은 조직과 사회에 활력을 불어넣는 열정적인 인재(Passionate), 따뜻한 배려로 함께 성장하는 인재(People-based), 새로운 변화를 이끄는 도전적 인재(Pioneer), 올바른 원칙을 지키며 타인을 존중하는 인재(Principle-based), 전문성과 창의력을 갖춘 금융 전문가(Professional)를 지향합니다."
신한은행,https://shinhan.recruiter.co.kr/career/people,"따뜻함, 창의, 열정으로 행동하며, 다양한 가치와 공감으로 변화를 주도하는 인재","Warmness, Creativity, Passion, Empathy, Innovation","신한은행은 고객과 사회의 따뜻한 미래를 생각하며 정직과 신뢰로 행동하는 인재, 유연하고 열린 사고로 차별화된 아이디어를 도출하는 창의적 인재, 실패를 두려워하지 않고 도전적 목표를 향해 빠르게 실행하는 열정적인 인재를 지향합니다. 또한 다양한 배경과 사고를 포용하며 공감으로 함께 성장하고 디지털 시대의 변화에 앞서가는 인재가 되기를 바랍니다."
신한라이프,https://www.shinhanlife.co.kr/hp/cdhh0350.do,"공정함, 유연성, 목표 중심성, 개방성, 민첩성, 실용성, 협업, 수평성으로 일하는 인재","공정함(Fairness), 유연성(Flexibility), 목표지향(Goal-Orientation), 개방성(Openness), 민첩성(Agility), 실용성(Practicality), 네트워크 협력(Collaboration), 수평문화(Flat Culture)","신한라이프는 누구에게나 공정한 기회, 과정, 결과를 보장하고, 자율과 창의를 기반으로 유연하게 일하는 인재를 지향합니다. 명확한 목표를 설정하고 몰입하며, 실패를 배우는 경험으로 삼아 토론과 정보공유에 열려 있는 개방적인 태도를 갖추어야 합니다. 또한 빠른 의사결정과 실행으로 민첩하게 움직이고, 불필요한 절차를 줄여 효율적으로 일하며, 부서 간 협업과 그룹 시너지를 중시하고, 직급보다는 역할에 기반한 수평적 문화를 실천하는 인재가 되길 바랍니다."
신한투자증권,https://recruit.shinhansec.com/info/shinhanway.do,"고객 중심 사고를 기반으로, 존중과 혁신, 최고를 지향하며 주인의식을 갖고 행동하는 인재","고객중심, 상호존중, 변화주도, 최고지향, 주인정신","신한금융그룹은 금융으로 세상을 이롭게 한다는 미션 아래, 고객을 우선으로 생각하고(고객중심), 타인을 존중하며 협력하는 인재(상호존중), 변화를 두려워하지 않고 주도적으로 이끌어내는 인재(변화주도), 스스로 최고를 추구하며 전문가로서 지속 성장하는 인재(최고지향), 자신이 맡은 일에 책임감을 갖고 주도적으로 행동하는 인재(주인정신)를 지향합니다."
NH농협,https://www.nonghyup.com/introduction/nhperson/procedure.do,"협력과 신뢰, 전문성과 도덕성, 도전 정신으로 농업과 국민의 행복을 실현하는 인재","시너지 창출, 행복이 파트너, 최고의 전문가, 정직·도덕성, 진취적 도전가","NH농협은 열린 마음으로 구성원 간 협력하여 조직의 시너지를 창출하는 인재(시너지 창출가), 농업인과 고객을 가족처럼 여기며 진정성 있게 행복을 추구하는 서비스 인재(행복이 파트너), 꾸준한 자기계발로 전문 역량을 쌓아 내 분야 최고의 전문가가 되고자 하는 인재(최고의 전문가), 투명하고 정직하게 업무를 수행해 모든 이해관계자에게 신뢰를 받는 인재(정직·도덕성), 미래 지향적 도전정신과 창의성을 바탕으로 지속적으로 변화와 혁신을 추구하는 인재(진취적 도전가)를 지향합니다."
NH농협은행,https://www.nhbank.com/goEtcSubPage.do?srchGb=KO_NHJB_02&srchSiteGb=KO,금융 전문성과 소통·책임·혁신·고객 중심 정신을 실천하는 NH인,"금융전문가, 협력과 소통, 사회적 책임, 변화선도, 고객우선","NH농협은행은 최고의 금융 서비스를 위한 전문성을 갖추고 꾸준히 노력하는 인재, 고객 및 조직 구성원과 존중과 협력의 자세로 소통하는 인재, 도덕성과 정직을 바탕으로 사회적 책임을 실천하는 인재, 다양성과 변화를 적극 수용하여 혁신을 만들어내는 인재, 항상 고객의 입장에서 생각하며 고객 만족을 앞장서 실현하는 인재를 지향합니다."
NH농협생명,https://www.nhlife.co.kr/ho/ci/HOCI0022M00.nhl,"행복을 실현하고, 정직과 전문성으로 혁신하며, 협력과 도전으로 시너지를 창출하는 인재","행복의 파트너, 정직과 도덕성, 최고의 전문가, 진취적 도전가, 시너지 창출가","NH농협생명은 농업인과 고객을 가족처럼 여기는 '행복의 파트너', 투명하고 정직한 업무처리로 신뢰받는 '정직과 도덕성 인재', 자신의 분야에서 최고의 역량을 위해 꾸준히 성장하는 '전문가', 미래에 대한 도전과 창의적 변화를 주도하는 '도전형 인재', 열린 소통과 협력으로 조직의 성과를 극대화하는 '시너지 창출자'를 지향합니다."
NH투자증권,https://nhqv.recruiter.co.kr/career/vision,"시너지 창출, 전문성, 정직, 도전 정신으로 고객에 혁신을 제공하는 인재","시너지 창출가, 최고의 전문가, 정직·도덕성, 진취적 도전가","NH투자증권은 구성원 간 소통과 협력으로 조직의 시너지를 이끌고, 지속적 자기계발로 업계 최고 수준의 전문성을 유지하며, 모든 업무를 투명하고 정직하게 수행하는 인재를 지향합니다. 또한, 혁신적인 사고와 도전정신으로 시장 변화에 능동적으로 대응하고, 고객에게 새로운 가치를 제공하는 인재상을 추구합니다."
우리은행,https://spot.wooribank.com/pot/Dream?withyou=BPHRR0007,올바른 품성을 바탕으로 도전과 창의로 최고의 금융전문가로 성장하는 인재,"정직한 품성, 도전 정신, 창의력, 금융 전문성","우리은행은 올바른 품성을 갖춘 인재가 스스로 도전하며 창의적인 해결을 추구하면서, 시장을 선도하는 금융전문가로 발전할 수 있기를 기대합니다."
GS칼텍스,https://www.gscaltex.com/kr/recruit/idealemployee,"에너지 전환에 참여하며 도전과 혁신을 주도하고, 신뢰·유연·도전·탁월의 가치를 실천하는 인재","신뢰, 유연, 도전, 탁월","GS칼텍스는 에너지 전환을 선도하는 과정에서 끊임없는 도전과 혁신을 추구하고, 그 일원으로 '역할에 대한 이해와 책임을 바탕으로 원칙을 지키는 신뢰형 인재', '다양성과 협업을 존중하며 창의적으로 문제를 해결하는 유연형 인재', '높은 목표를 설정하고 꾸준히 변화를 이끄는 도전형 인재', '성과를 향한 열정과 역량 발휘로 뛰어난 성과를 창출하는 탁월형 인재'를 지향합니다."
